,Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
185,2021,Pretty Guardian Sailor Moon Eternal The Movie Part 2,192.92,102,popular,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance"
186,2021,Demonic,192.39,109,not_popular,"Horror, Thriller"
187,2021,Far From the Tree,192.33,194,popular,"Animation, Family"
188,2020,Black Water: Abyss,191.72,312,not_popular,"Horror, Thriller, Adventure, Mystery"
189,2020,"Yes, No, or Maybe Half?",191.59,17,average,"Animation, Drama, Romance"
190,2020,The SpongeBob Movie: Sponge on the Run,191.12,2436,popular,"Family, Animation, Fantasy, Adventure, Comedy"
191,2018,Spider-Man: Into the Spider-Verse,190.78,10951,popular,"Action, Adventure, Animation, Science Fiction"
192,2004,Harry Potter and the Prisoner of Azkaban,189.77,17607,popular,"Adventure, Fantasy"
193,2021,The Vault,189.58,555,average,"Crime, Action, Thriller"
194,2022,The Adam Project,189.24,2,below_avg,"Science Fiction, Adventure, Comedy"
195,2016,Deadpool,189.21,26390,popular,"Action, Adventure, Comedy"
196,2021,The Harder They Fall,188.86,611,average,Western
197,2001,"Monsters, Inc.",188.76,15255,popular,"Animation, Comedy, Family"
198,2021,Ainbo: Spirit of the Amazon,188.48,285,average,"Adventure, Animation, Family, Fantasy"
199,2021,Don't Look Up,188.4,4819,popular,"Comedy, Drama, Science Fiction"
200,2017,Cars 3,186.62,4416,average,"Animation, Adventure, Comedy, Family"
201,2007,Spider-Man 3,186.12,11340,below_avg,"Fantasy, Action, Adventure"
202,2021,Last Shoot Out,185.04,92,below_avg,"Western, Action, Thriller"
203,2019,Sator,184.49,66,not_popular,Horror
204,2010,Iron Man 2,183.14,17594,average,"Adventure, Action, Science Fiction"
205,2020,Soul,182.72,7736,popular,"Animation, Comedy, Fantasy, Family"
206,2011,Pirates of the Caribbean: On Stranger Tides,182.13,11712,below_avg,"Adventure, Action, Fantasy"
207,2021,Phobias,181.53,27,not_popular,"Horror, Thriller"
208,2021,A Quiet Place Part II,181.39,3997,popular,"Science Fiction, Thriller, Horror"
209,1972,What the Peeper Saw,181.32,19,not_popular,"Horror, Drama, Thriller"
211,2012,The Dark Knight Rises,179.59,19126,popular,"Action, Crime, Drama, Thriller"
212,2021,Trolls Holiday in Harmony,179.02,102,popular,"Animation, Fantasy, Family"
213,2016,Batman v Superman: Dawn of Justice,178.21,15596,not_popular,"Action, Adventure, Fantasy"
214,2021,Motherly,176.38,95,popular,"Thriller, Horror"
215,2021,Nobody,175.06,4292,popular,"Action, Crime, Thriller"
216,2018,My Hero Academia: Two Heroes,174.76,743,popular,"Animation, Action, Adventure, Fantasy"
217,2009,Harry Potter and the Half-Blood Prince,174.7,15861,popular,"Adventure, Fantasy"
218,2022,Book of Love,174.48,20,not_popular,"Comedy, Romance"
219,2021,Jurassic Hunt,174.42,180,not_popular,"Action, Science Fiction, Thriller"
220,2021,American Underdog,173.96,54,popular,Drama
221,2008,The Dark Knight,173.92,26994,popular,"Drama, Action, Crime, Thriller"
222,2021,Jujutsu Kaisen 0,173.58,21,popular,"Animation, Action, Adventure, Mystery"
223,2020,Ava,173.2,1917,not_popular,"Action, Crime, Drama, Thriller"
224,2010,Three Steps Above Heaven,172.85,2394,popular,"Romance, Drama"
225,2021,Sinkhole,172.57,36,average,"Comedy, Drama"
226,2010,Undisputed III: Redemption,172.36,604,popular,"Action, Thriller"
227,1995,Toy Story,171.71,15127,popular,"Animation, Adventure, Family, Comedy"
228,2020,Roald Dahl's The Witches,171.36,2092,below_avg,"Family, Fantasy, Adventure, Comedy, Horror"
229,2021,El Paseo 6,170.87,5,not_popular,Comedy
230,2021,Separation,170.56,127,not_popular,"Horror, Drama"
233,2009,Brothers,169.5,2085,average,"Drama, Thriller, War"
234,2001,Shrek,169.44,13610,popular,"Animation, Comedy, Fantasy, Adventure, Family"
235,2022,Jackass Forever,169.38,49,average,"Action, Comedy, Documentary"
236,2014,Big Hero 6,169.21,13447,popular,"Adventure, Family, Animation, Action, Comedy"
237,2021,Monster Pets: A Hotel Transylvania Short,169.0,295,popular,"Animation, Comedy, Fantasy"
238,2015,Off Course,168.35,254,below_avg,"Romance, Comedy"
239,2014,The Hobbit: The Battle of the Five Armies,168.03,11790,popular,"Action, Adventure, Fantasy"
240,2021,Major Grom: Plague Doctor,168.02,405,average,"Action, Adventure"
241,2021,Monster Family 2,167.91,28,average,"Animation, Family"
242,2021,Gunpowder Milkshake,167.5,525,below_avg,"Action, Crime, Thriller"
243,1986,Beautiful Sisters: Flesh Slave,167.26,4,not_popular,"Crime, Horror"
244,2021,Narco Sub,166.67,183,average,"Action, Drama, Crime"
245,2007,Harry Potter and the Order of the Phoenix,166.46,16081,popular,"Adventure, Fantasy, Mystery"
246,2015,Legend,165.62,2856,average,"Crime, Thriller"
247,2021,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,165.46,279,popular,"Animation, Comedy, Mystery, Family, Fantasy"
248,2021,Descendants: The Royal Wedding,165.26,97,average,"TV Movie, Animation, Comedy, Family, Drama"
